n_plain,pos_rate_plain,roc_auc_plain,pr_auc_plain,ece_10_plain,thr@0.5_plain,precision@0.5_plain,recall@0.5_plain,f1@0.5_plain,acc@0.5_plain,thr@best_f1_plain,precision@best_f1_plain,recall@best_f1_plain,f1@best_f1_plain,acc@best_f1_plain,probs_col_plain,label_col_plain,slice,n_ctx,pos_rate_ctx,roc_auc_ctx,pr_auc_ctx,ece_10_ctx,thr@0.5_ctx,precision@0.5_ctx,recall@0.5_ctx,f1@0.5_ctx,acc@0.5_ctx,thr@best_f1_ctx,precision@best_f1_ctx,recall@best_f1_ctx,f1@best_f1_ctx,acc@best_f1_ctx,probs_col_ctx,label_col_ctx,n,pos_rate,roc_auc,pr_auc,ece_10,thr@0.5,precision@0.5,recall@0.5,f1@0.5,acc@0.5,thr@best_f1,precision@best_f1,recall@best_f1,f1@best_f1,acc@best_f1,probs_col,label_col,n_shuffle,pos_rate_shuffle,roc_auc_shuffle,pr_auc_shuffle,ece_10_shuffle,thr@0.5_shuffle,precision@0.5_shuffle,recall@0.5_shuffle,f1@0.5_shuffle,acc@0.5_shuffle,thr@best_f1_shuffle,precision@best_f1_shuffle,recall@best_f1_shuffle,f1@best_f1_shuffle,acc@best_f1_shuffle,probs_col_shuffle,label_col_shuffle,n_tr64,pos_rate_tr64,roc_auc_tr64,pr_auc_tr64,ece_10_tr64,thr@0.5_tr64,precision@0.5_tr64,recall@0.5_tr64,f1@0.5_tr64,acc@0.5_tr64,thr@best_f1_tr64,precision@best_f1_tr64,recall@best_f1_tr64,f1@best_f1_tr64,acc@best_f1_tr64,probs_col_tr64,label_col_tr64
30645,0.8464349812367433,0.9753465857250788,0.9945769168180564,0.1238503909541197,0.5,0.9619965106576652,0.9778326072709048,0.9698499187458178,0.9485397291564692,0.1,0.9539840785655828,0.9886657157176452,0.9710153158781546,0.9500407896883668,pred_cal,label,ALL,30645,0.8464349812367433,0.9778948958463092,0.9957838032404052,0.1193614559823134,0.5,0.9600695757392422,0.9788349589421336,0.9693614584327576,0.9476260401370532,0.15,0.9563084986896292,0.9847334130074406,0.9703128264544436,0.9489965736661772,pred_cal,label,30645,0.8464349812367433,0.9778948958463092,0.9957838032404052,0.1193614559823134,0.5,0.9600695757392422,0.9788349589421336,0.9693614584327576,0.9476260401370532,0.15,0.9563084986896292,0.9847334130074406,0.9703128264544436,0.9489965736661772,pred_cal,label,30645,0.8464349812367433,0.9781240778263862,0.9958418126064638,0.1201786132537119,0.5,0.960379928857943,0.978410887081229,0.969311563066934,0.9475607766356664,0.15,0.9562970452758116,0.984463549095956,0.9701759051707762,0.9487681514113232,pred_cal,label,30645,0.8464349812367433,0.9781240778263862,0.9958418126064638,0.1201786132537119,0.5,0.960379928857943,0.978410887081229,0.969311563066934,0.9475607766356664,0.15,0.9562970452758116,0.984463549095956,0.9701759051707762,0.9487681514113232,pred_cal,label
547,0.7824497257769653,0.9570113091965758,0.9875045501278008,0.1593194693564898,0.5,0.9118942731277532,0.9672897196261684,0.9387755102040816,0.9012797074954296,0.15,0.9112554112554112,0.983644859813084,0.9460674157303368,0.9122486288848264,pred_cal,label,asian,547,0.7824497257769653,0.9576592319170658,0.9877891914497112,0.1587321127202925,0.5,0.912472647702407,0.9742990654205608,0.9423728813559322,0.906764168190128,0.15,0.90752688172043,0.985981308411215,0.9451287793952968,0.9104204753199268,pred_cal,label,547,0.7824497257769653,0.9576592319170658,0.9877891914497112,0.1587321127202925,0.5,0.912472647702407,0.9742990654205608,0.9423728813559322,0.906764168190128,0.15,0.90752688172043,0.985981308411215,0.9451287793952968,0.9104204753199268,pred_cal,label,547,0.7824497257769653,0.957659231917066,0.9876192804474676,0.1532591990109689,0.5,0.9126637554585152,0.9766355140186916,0.9435665914221218,0.9085923217550276,0.2,0.9112554112554112,0.983644859813084,0.9460674157303368,0.9122486288848264,pred_cal,label,547,0.7824497257769653,0.957659231917066,0.9876192804474676,0.1532591990109689,0.5,0.9126637554585152,0.9766355140186916,0.9435665914221218,0.9085923217550276,0.2,0.9112554112554112,0.983644859813084,0.9460674157303368,0.9122486288848264,pred_cal,label
545,0.7981651376146789,0.9685788923719958,0.9920202764372088,0.1537556117834863,0.5,0.9175704989154012,0.9724137931034482,0.9441964285714286,0.908256880733945,0.7,0.9626168224299064,0.9471264367816092,0.954808806488992,0.9284403669724772,pred_cal,label,black,545,0.7981651376146789,0.9694775339602926,0.9922550260888998,0.1486964313064221,0.5,0.9197396963123644,0.9747126436781608,0.9464285714285714,0.9119266055045872,0.7,0.947845804988662,0.960919540229885,0.9543378995433788,0.926605504587156,pred_cal,label,545,0.7981651376146789,0.9694775339602926,0.9922550260888998,0.1486964313064221,0.5,0.9197396963123644,0.9747126436781608,0.9464285714285714,0.9119266055045872,0.7,0.947845804988662,0.960919540229885,0.9543378995433788,0.926605504587156,pred_cal,label,545,0.7981651376146789,0.9715047021943574,0.9927741973626892,0.1468054615376147,0.5,0.9239130434782608,0.9770114942528736,0.9497206703910612,0.9174311926605504,0.65,0.948081264108352,0.9655172413793104,0.9567198177676538,0.9302752293577982,pred_cal,label,545,0.7981651376146789,0.9715047021943574,0.9927741973626892,0.1468054615376147,0.5,0.9239130434782608,0.9770114942528736,0.9497206703910612,0.9174311926605504,0.65,0.948081264108352,0.9655172413793104,0.9567198177676538,0.9302752293577982,pred_cal,label
305,0.7770491803278688,0.8729833705634152,0.9553353082793472,0.167460585357377,0.5,0.875,0.9746835443037974,0.9221556886227544,0.8721311475409836,0.15,0.8759398496240601,0.9831223628691984,0.926441351888668,0.8786885245901639,pred_cal,label,immigrant,305,0.7770491803278688,0.8626830479027054,0.952829829299804,0.1722874286229507,0.5,0.8787878787878788,0.978902953586498,0.9261477045908184,0.8786885245901639,0.15,0.8731343283582089,0.9873417721518988,0.9267326732673268,0.8786885245901639,pred_cal,label,305,0.7770491803278688,0.8626830479027054,0.952829829299804,0.1722874286229507,0.5,0.8787878787878788,0.978902953586498,0.9261477045908184,0.8786885245901639,0.15,0.8731343283582089,0.9873417721518988,0.9267326732673268,0.8786885245901639,pred_cal,label,305,0.7770491803278688,0.8624348473566642,0.952603402909474,0.1719526611409836,0.5,0.8783269961977186,0.9746835443037974,0.924,0.8754098360655738,0.2,0.8759398496240601,0.9831223628691984,0.926441351888668,0.8786885245901639,pred_cal,label,305,0.7770491803278688,0.8624348473566642,0.952603402909474,0.1719526611409836,0.5,0.8783269961977186,0.9746835443037974,0.924,0.8754098360655738,0.2,0.8759398496240601,0.9831223628691984,0.926441351888668,0.8786885245901639,pred_cal,label
208,0.7692307692307693,0.962109375,0.9877270696000192,0.1904263930240385,0.5,0.9444444444444444,0.95625,0.9503105590062112,0.9230769230769232,0.05,0.9195402298850576,1.0,0.9580838323353292,0.9326923076923076,pred_cal,label,jewish,208,0.7692307692307693,0.973828125,0.9916794362764044,0.1972527640721154,0.5,0.951219512195122,0.975,0.9629629629629628,0.9423076923076924,0.4999999999999999,0.951219512195122,0.975,0.9629629629629628,0.9423076923076924,pred_cal,label,208,0.7692307692307693,0.973828125,0.9916794362764044,0.1972527640721154,0.5,0.951219512195122,0.975,0.9629629629629628,0.9423076923076924,0.4999999999999999,0.951219512195122,0.975,0.9629629629629628,0.9423076923076924,pred_cal,label,208,0.7692307692307693,0.9731770833333332,0.9914836246308985,0.2025430809903844,0.5,0.9506172839506172,0.9625,0.9565217391304348,0.9326923076923076,0.2,0.9457831325301204,0.98125,0.9631901840490796,0.9423076923076924,pred_cal,label,208,0.7692307692307693,0.9731770833333332,0.9914836246308985,0.2025430809903844,0.5,0.9506172839506172,0.9625,0.9565217391304348,0.9326923076923076,0.2,0.9457831325301204,0.98125,0.9631901840490796,0.9423076923076924,pred_cal,label
758,0.7427440633245382,0.9533633920845288,0.9828367875486814,0.1863821324050132,0.5,0.9106239460370996,0.9591474245115452,0.934256055363322,0.899736147757256,0.4499999999999999,0.9107744107744108,0.960923623445826,0.9351771823681936,0.9010554089709762,pred_cal,label,lgbtq,758,0.7427440633245382,0.9565241153163,0.985043801879882,0.1974345245514511,0.5,0.8983333333333333,0.9573712255772646,0.926913155631986,0.8878627968337731,0.6,0.9083191850594228,0.950266429840142,0.9288194444444444,0.8918205804749341,pred_cal,label,758,0.7427440633245382,0.9565241153163,0.985043801879882,0.1974345245514511,0.5,0.8983333333333333,0.9573712255772646,0.926913155631986,0.8878627968337731,0.6,0.9083191850594228,0.950266429840142,0.9288194444444444,0.8918205804749341,pred_cal,label,758,0.7427440633245382,0.9610329279956276,0.9867043308722466,0.2046085665514513,0.5,0.903494176372712,0.9644760213143873,0.9329896907216496,0.8970976253298153,0.4999999999999999,0.903494176372712,0.9644760213143873,0.9329896907216496,0.8970976253298153,pred_cal,label,758,0.7427440633245382,0.9610329279956276,0.9867043308722466,0.2046085665514513,0.5,0.903494176372712,0.9644760213143873,0.9329896907216496,0.8970976253298153,0.4999999999999999,0.903494176372712,0.9644760213143873,0.9329896907216496,0.8970976253298153,pred_cal,label
2804,0.753922967189729,0.927827937970466,0.9729525298035456,0.1613296589119114,0.5,0.8858625162127107,0.9692526017029328,0.925683306979896,0.8826676176890157,0.15,0.8809218950064021,0.9763481551561022,0.9261835315234463,0.8826676176890157,pred_cal,label,men,2804,0.753922967189729,0.9270463987495372,0.9735949317346902,0.1478559582778174,0.5,0.8816973853407629,0.9730368968779564,0.9251180571171576,0.8812410841654779,0.15,0.8788135593220339,0.9810785241248816,0.9271345552078676,0.8837375178316691,pred_cal,label,2804,0.753922967189729,0.9270463987495372,0.9735949317346902,0.1478559582778174,0.5,0.8816973853407629,0.9730368968779564,0.9251180571171576,0.8812410841654779,0.15,0.8788135593220339,0.9810785241248816,0.9271345552078676,0.8837375178316691,pred_cal,label,2804,0.753922967189729,0.9278814117066349,0.9740278619725548,0.1505712411373039,0.5,0.8819503849443969,0.9754020813623464,0.926325247079964,0.8830242510699001,0.2,0.8809017439387494,0.979659413434248,0.927659574468085,0.8848074179743224,pred_cal,label,2804,0.753922967189729,0.9278814117066349,0.9740278619725548,0.1505712411373039,0.5,0.8819503849443969,0.9754020813623464,0.926325247079964,0.8830242510699001,0.2,0.8809017439387494,0.979659413434248,0.927659574468085,0.8848074179743224,pred_cal,label
82,0.6707317073170732,0.9292929292929292,0.9665760773362184,0.247201679097561,0.5,0.8387096774193549,0.9454545454545454,0.8888888888888888,0.8414634146341463,0.1,0.8307692307692308,0.9818181818181818,0.9,0.8536585365853658,pred_cal,label,muslim,82,0.6707317073170732,0.9212121212121211,0.9633492624221752,0.2454437649268293,0.5,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.8292682926829268,0.15,0.8412698412698413,0.9636363636363636,0.8983050847457628,0.8536585365853658,pred_cal,label,82,0.6707317073170732,0.9212121212121211,0.9633492624221752,0.2454437649268293,0.5,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.8292682926829268,0.15,0.8412698412698413,0.9636363636363636,0.8983050847457628,0.8536585365853658,pred_cal,label,82,0.6707317073170732,0.9097643097643098,0.9589567219000772,0.2714539475609756,0.5,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.8292682926829268,0.15,0.8412698412698413,0.9636363636363636,0.8983050847457628,0.8536585365853658,pred_cal,label,82,0.6707317073170732,0.9097643097643098,0.9589567219000772,0.2714539475609756,0.5,0.8360655737704918,0.9272727272727272,0.8793103448275862,0.8292682926829268,0.15,0.8412698412698413,0.9636363636363636,0.8983050847457628,0.8536585365853658,pred_cal,label
2972,0.7503364737550471,0.9297526380041824,0.9749896858309708,0.1619559283283984,0.5,0.8858088539511791,0.9600896860986547,0.9214547019582529,0.8771870794078062,0.1,0.8718152866242038,0.9820627802690582,0.9236609025727542,0.8781965006729475,pred_cal,label,women,2972,0.7503364737550471,0.9250834008195036,0.9733121337943028,0.1555460001238222,0.5,0.8813838550247117,0.9596412556053812,0.9188492915414342,0.8728129205921938,0.25,0.8808353808353808,0.9645739910313902,0.920804794520548,0.8755047106325706,pred_cal,label,2972,0.7503364737550471,0.9250834008195036,0.9733121337943028,0.1555460001238222,0.5,0.8813838550247117,0.9596412556053812,0.9188492915414342,0.8728129205921938,0.25,0.8808353808353808,0.9645739910313902,0.920804794520548,0.8755047106325706,pred_cal,label,2972,0.7503364737550471,0.924657935769282,0.9732040144769132,0.1552083225030282,0.5,0.8812166050143855,0.9614349775784752,0.9195796697405104,0.8738223418573351,0.2,0.8791343405471621,0.9654708520179373,0.9202821115622996,0.8744952893674294,pred_cal,label,2972,0.7503364737550471,0.924657935769282,0.9732040144769132,0.1552083225030282,0.5,0.8812166050143855,0.9614349775784752,0.9195796697405104,0.8738223418573351,0.2,0.8791343405471621,0.9654708520179373,0.9202821115622996,0.8744952893674294,pred_cal,label
